,navn,addresse,Org_nr,Sektor,godkjenning
427,Brørby Håvard,"Dølerudvegen 10 , 3520 JEVNAKER",Org. nr. 969 175 002,Økologisk landbruksproduksjon,Gyldig fra 29.11.2020 til 30.12.2021
428,Brosvik Knut Håvard,"Dingevegen 291 , 5966 EIVINDVIK",Org. nr. 923 226 494,Økologisk landbruksproduksjon,Gyldig fra 29.09.2020 til 30.12.2021
429,Brustad Bent,"Bjørndalsveien 205 , 3825 LUNDE",Org. nr. 969 781 611,Økologisk landbruksproduksjon,Gyldig fra 16.08.2020 til 30.12.2021
430,Brustad Karl A.,"Krogsrudvegen 175, Brustad , 2223 GALTERUD",Org. nr. 969 380 617,Økologisk landbruksproduksjon,Gyldig fra 05.02.2020 til 30.12.2021
431,Brustugun Bjørn,"Løkenveien 239 , 1860 TRØGSTAD",Org. nr. 881 955 822,Økologisk landbruksproduksjon,Gyldig fra 12.08.2020 til 30.12.2021
432,Bryggerhuset - Aass Bryggeri,"Ole Steens gate 10 , 3015 DRAMMEN",Org. nr. 912 696 553,"Foredling, import og omsetning",Gyldig fra 22.06.2020 til 30.12.2021
433,Brynild Gruppen AS,"Mosseveien 1 , 1610 FREDRIKSTAD",Org. nr. 992 034 912,"Foredling, import og omsetning",Gyldig fra 08.07.2020 til 30.12.2021
435,Buholt Torleif,"Lillestrømveien 1222 , 1912 ENEBAKK",Org. nr. 969 763 788,Økologisk landbruksproduksjon,Gyldig fra 18.01.2021 til 30.12.2021
436,Bungenstock Almut,"Nubbdalsengvegen 171 , 7970 KOLVEREID",Org. nr. 992 865 237,"Foredling, import og omsetning",Gyldig fra 18.01.2021 til 30.12.2021
437,Buraas Kjell,"Buråsvegen 19 , 2090 HURDAL",Org. nr. 969 857 553,Økologisk landbruksproduksjon,Gyldig fra 26.11.2020 til 30.12.2021
438,Buskerud Geir og Sigrid,"Rakkestadv 77 , 3330 SKOTSELV",Org. nr. 982 749 689,Økologisk landbruksproduksjon,Gyldig fra 07.09.2020 til 30.12.2021
439,Buvarp Simon,"Kvamsvegen 1602 , 7732 STEINKJER",Org. nr. 920 912 206,Økologisk landbruksproduksjon,Gyldig fra 01.09.2020 til 30.12.2021
440,Byåsen Tospråklige Barnehage AS avd Fagerlia Miljøbarnehage,"Kaptein Roosens vei 5 , 7020 TRONDHEIM",Org. nr. 986 343 644,Servering av økologisk mat og drikke,Gyldig fra 08.11.2020 til 30.12.2021
441,Bye Bergan Kjersti,"Rabbenveien 298 , 3350 PRESTFOSS",Org. nr. 917 378 320,Økologisk landbruksproduksjon,Gyldig fra 06.10.2020 til 30.12.2021
442,C&E Gastro-Import AS,"Observatoriegt 3 , 0254 OSLO",Org. nr. 982 271 797,"Foredling, import og omsetning",Gyldig fra 16.09.2020 til 30.12.2021
443,Cacas AS,"Osloveien 708 , 1914 YTRE ENEBAKK",Org. nr. 967 426 164,"Foredling, import og omsetning",Gyldig fra 19.11.2020 til 30.12.2021
444,Caldic Norway AS,"Strandvn. 15 , 1366 LYSAKER",Org. nr. 982 360 048,"Foredling, import og omsetning",Gyldig fra 30.11.2020 til 30.12.2021
445,Camphill Landsbystiftelse Solborg,"Solborgvn. 21 , 3520 JEVNAKER",Org. nr. 973 255 118,Økologisk landbruksproduksjon,Gyldig fra 02.06.2020 til 30.12.2021
446,Camphill Rotvoll - verksteder,"Arkitekt Ebbells veg 11 , 7053 RANHEIM",Org. nr. 982 206 812,"Foredling, import og omsetning",Gyldig fra 16.11.2020 til 30.12.2021
447,Camphill Rotvoll Verksteder,"Arkitekt Ebbells veg 11 , 7053 RANHEIM",Org. nr. 982 206 812,"Foredling, import og omsetning",Gyldig fra 22.11.2020 til 30.12.2021
448,Carl Evensen Eftf AS,"PB 119 Alnabru , 0614 OSLO",Org. nr. 911 545 446,"Foredling, import og omsetning",Gyldig fra 27.09.2020 til 30.12.2021
449,Cater Drammen AS,"Postboks 37 , 3421 LIERSKOGEN",Org. nr. 942 545 258,"Foredling, import og omsetning",Gyldig fra 27.08.2020 til 30.12.2021
451,Cater Kongsvinger AS,"Postboks 37 , 3421 LIERSKOGEN",Org. nr. 937 161 042,"Foredling, import og omsetning",Gyldig fra 10.05.2020 til 30.12.2021
452,Cater Mysen,"Postboks 37 , 3421 LIERSKOGEN",Org. nr. 951 861 162,"Foredling, import og omsetning",Gyldig fra 10.05.2020 til 30.12.2021
453,Charlotte Bergsholm Leve Lettere,"Vasselvegen 39 , 5628 HERAND",Org. nr. 994 938 959,Økologisk landbruksproduksjon,Gyldig fra 10.05.2020 til 30.12.2021
454,Chill Freeze AS,"Hegdalringen 7 , 3261 LARVIK",Org. nr. 912 610 470,"Foredling, import og omsetning",Gyldig fra 21.10.2020 til 30.12.2021
455,Christensen Yvonne Tonnaer og Ole-Jacob,"Trillebakkadn 13 , 2960 RØN",Org. nr. 977 244 242,Økologisk landbruksproduksjon,Gyldig fra 21.09.2020 til 30.12.2021
456,Christiansen Eirik,"Flåbygdvegen 947 , 3825 Lunde",Org. nr. 916 557 116,Økologisk landbruksproduksjon,Gyldig fra 26.10.2020 til 30.12.2021
457,Christiansen Tom Eric,"Bjerkøy 17 , 3133 DUKEN",Org. nr. 973 199 528,Økologisk landbruksproduksjon,Gyldig fra 17.11.2020 til 30.12.2021
458,Ciderhuset v/ Åge Eitungjerde,"Sjøtunsvegen 34 , 6899 BALESTRAND",Org. nr. 971 178 264,Økologisk landbruksproduksjon,Gyldig fra 04.08.2020 til 30.12.2021
459,Ciri AS,"Landsvegen 44 , 2423 ØSTBY",Org. nr. 819 667 632,Økologisk landbruksproduksjon,Gyldig fra 08.11.2020 til 30.12.2021
460,Classy Scandinavian Living,"Bogstadveien 37 , 0366 OSLO",Org. nr. 825 458 212,"Foredling, import og omsetning",Gyldig fra 17.03.2020 til 30.12.2021
461,Coast Seafood AS,"Postboks 130 , 6701 MÅLØY",Org. nr. 971 003 936,Økologisk akvakultur,Gyldig fra 14.01.2021 til 30.12.2022
462,Coca Cola European Partners,"Robsrudskogen 5 , 1471 LØRENSKOG",Org. nr. 976 388 097,"Foredling, import og omsetning",Gyldig fra 28.10.2020 til 30.12.2021
463,Coldwater Prawns of Norway AS,"Nedre Strandgt 29 , 6004 ÅLESUND",Org. nr. 992 097 450,Bærekraftig fiske og fangst,Gyldig fra 24.05.2020 til 30.12.2021
464,Condifa AS,"Nedre Eikervei 8 , 3045 DRAMMEN",Org. nr. 920 260 942,"Foredling, import og omsetning",Gyldig fra 17.08.2020 til 30.12.2021
465,Confecta AS,"Ole Deviks vei 32 , 0668 OSLO",Org. nr. 948 181 983,"Foredling, import og omsetning",Gyldig fra 19.11.2020 til 30.12.2021
467,Conrad Langaard AS,"PB 173 Alnabru , 0614 OSLO",Org. nr. 913 726 324,"Foredling, import og omsetning",Gyldig fra 06.07.2020 til 30.12.2021
468,Coop Innlandet SA Coop Mega Lillehammer,"Stolvstadvegen 2 , 2360 RUDSHØGDA",Org. nr. 979 419 287,"Foredling, import og omsetning",Gyldig fra 06.07.2020 til 30.12.2021
469,Coop Mega Aker Brygge,"Holmens gate 7 , 0250 OSLO",Org. nr. 931 186 744,"Foredling, import og omsetning",Gyldig fra 14.04.2020 til 30.12.2021
470,Coop Mega Alexander Kiellandsplass,"Waldemar Thranesgate 72 , 0175 OSLO",Org. nr. 931 186 744,"Foredling, import og omsetning",Gyldig fra 16.09.2020 til 30.12.2021
471,Coop Mega Ålgård,"Ole Nielsensvei 25 , 4330 ÅLGÅRD",Org. nr. 948 428 326,"Foredling, import og omsetning",Gyldig fra 04.03.2020 til 30.12.2021
472,Coop Mega Årnes,"Rådhusgata 11A , 2150 ÅRNES",Org. nr. 948 432 617,"Foredling, import og omsetning",Gyldig fra 05.10.2020 til 30.12.2021
473,Coop Mega Bekkevoll,"Moldelivegen 97 , 6412 MOLDE",Org. nr. 931 186 744,"Foredling, import og omsetning",Gyldig fra 02.12.2020 til 30.12.2021
474,Coop Mega Berjasenteret,"Herman Foss 12 , 3611 KONGSBERG",Org. nr. 931 186 744,"Foredling, import og omsetning",Gyldig fra 29.04.2020 til 30.12.2021
475,Coop Mega Bislett,"Dalsbergstien 19 , 0170 OSLO",Org. nr. 948 432 617,"Foredling, import og omsetning",Gyldig fra 20.10.2020 til 30.12.2021
476,Coop Mega Brønnøysund,"Postboks 193 , 8901 BRØNNØYSUND",Org. nr. 946 231 819,"Foredling, import og omsetning",Gyldig fra 28.10.2020 til 30.12.2021
477,Coop Mega Brueland,"Ganddalsgate 1 , 4306 SANDNES",Org. nr. 966 833 300,"Foredling, import og omsetning",Gyldig fra 27.05.2020 til 30.12.2021
478,Coop Mega Dombås,"Sentralplassen 5 A , 2660 DOMBÅS",Org. nr. 979 419 287,"Foredling, import og omsetning",Gyldig fra 15.11.2020 til 30.12.2021
479,Coop Mega Dvergsnes,"Dvergsnesveien 180 , 4639 KRISTIANSAND",Org. nr. 986 000 046,"Foredling, import og omsetning",Gyldig fra 01.12.2020 til 30.12.2021
480,Coop Mega Egersund,"Fabrikkgaten 2 , 4379 EGERSUND",Org. nr. 953 452 626,"Foredling, import og omsetning",Gyldig fra 15.04.2020 til 30.12.2021
481,Coop Mega Fauske,"Sjøgata 62 , 8200 FAUSKE",Org. nr. 946 231 819,"Foredling, import og omsetning",Gyldig fra 26.05.2020 til 30.12.2021
483,Coop Mega Fjellhamar,"Haneborgveien 91-93 , 1472 FJELLHAMAR",Org. nr. 948 432 617,"Foredling, import og omsetning",Gyldig fra 30.06.2020 til 30.12.2021
484,Coop Mega Førde,"Langebruveien 22 , 6800 FØRDE",Org. nr. 942 763 654,"Foredling, import og omsetning",Gyldig fra 30.06.2020 til 30.12.2021
485,Coop Mega Fredrikstad,"Brochsgt 8 , 1607 FREDRIKSTAD",Org. nr. 948 432 617,"Foredling, import og omsetning",Gyldig fra 06.08.2020 til 30.12.2021
486,Coop Mega Frogner,"Frognervn. 8 - 10 , 0257 OSLO",Org. nr. 931 186 744,"Foredling, import og omsetning",Gyldig fra 30.06.2020 til 30.12.2021
487,Coop Mega Gausel,"Gullspennetunet 1 , 4032 STAVANGER",Org. nr. 931 186 744,"Foredling, import og omsetning",Gyldig fra 07.07.2020 til 30.12.2021
488,Coop Mega Hagan,"Hellinga 8 B , 1481 HAGAN",Org. nr. 948 432 617,"Foredling, import og omsetning",Gyldig fra 15.11.2020 til 30.12.2021
489,Coop Mega Harbitz Torg,"Harbitzaleen 3 - 5 , 0725 OSLO",Org. nr. 948 432 617,"Foredling, import og omsetning",Gyldig fra 12.10.2020 til 30.12.2021
490,Coop Mega Hasle Torg,"Grenseveien 50 , 0579 OSLO",Org. nr. 931 186 744,"Foredling, import og omsetning",Gyldig fra 01.06.2020 til 30.12.2021
491,Coop Mega Holmen,"Vogellund 6 , 1394 NESBRU",Org. nr. 931 186 744,"Foredling, import og omsetning",Gyldig fra 03.09.2020 til 30.12.2021
492,Coop Mega Hønefoss,"Industrigate 1 , 3515 HØNEFOSS",Org. nr. 948 432 617,"Foredling, import og omsetning",Gyldig fra 22.04.2020 til 30.12.2021
493,Coop Mega Kilden,"Gartnerveien 15 , 4016 STAVANGER",Org. nr. 931 186 744,"Foredling, import og omsetning",Gyldig fra 04.11.2020 til 30.12.2021
494,Coop Mega Klepp,"Solavegen 25 , 4352 KLEPPE",Org. nr. 913 426 789,"Foredling, import og omsetning",Gyldig fra 05.10.2020 til 30.12.2021
495,Coop Mega Kolbotn SA AVD 1005,"Postboks 600 , 1411 KOLBOTN",Org. nr. 948 432 617,"Foredling, import og omsetning",Gyldig fra 10.12.2020 til 30.12.2021
496,Coop Mega Kristiansund,"Arnulf Øverlandsvei 7 , 6509 KRISTIANSUND",Org. nr. 942 763 654,"Foredling, import og omsetning",Gyldig fra 07.09.2020 til 30.12.2021
497,Coop Mega Linderud,"Erich Mogensønsvei 38 , 0517 OSLO",Org. nr. 931 186 744,"Foredling, import og omsetning",Gyldig fra 23.03.2020 til 30.12.2021
499,Coop Mega Lund,"Stadionveien 1 , 4632 KRISTIANSAND",Org. nr. 931 186 744,"Foredling, import og omsetning",Gyldig fra 13.05.2020 til 30.12.2021
500,Coop Mega Madla,"Madlakrossen 7 , 4042 HAFRSFJORD",Org. nr. 952 000 551,"Foredling, import og omsetning",Gyldig fra 13.05.2020 til 30.12.2021
501,Coop Mega Metro,"Bibliotekgt 30 , 1473 LØRENSKOG",Org. nr. 948 432 617,"Foredling, import og omsetning",Gyldig fra 29.11.2020 til 30.12.2021
502,Coop Mega Molde,"Birger Hatlebakksv.5 , 6415 MOLDE",Org. nr. 942 763 654,"Foredling, import og omsetning",Gyldig fra 29.11.2020 til 30.12.2021
503,Coop Mega Moss,"Storgt 41 , 1531 MOSS",Org. nr. 948 432 617,"Foredling, import og omsetning",Gyldig fra 23.06.2020 til 30.12.2021
504,Coop Mega Nærbø,"Torggt.2 , 4365 NÆRBØ",Org. nr. 968 712 233,"Foredling, import og omsetning",Gyldig fra 20.04.2020 til 30.12.2021
505,Coop Mega Nardo 4365,"Hans Baucksvei 1 , 7033 TRONDHEIM",Org. nr. 931 186 744,"Foredling, import og omsetning",Gyldig fra 09.07.2020 til 30.12.2021
506,Coop Mega Nittedal,"Mattias Skytters vei 2 , 1482 NITTEDAL",Org. nr. 436 8,"Foredling, import og omsetning",Gyldig fra 13.09.2020 til 30.12.2021
507,Coop Mega Nordås,"Søråshøgda 9 , 5235 RÅDAL",Org. nr. 931 186 744,"Foredling, import og omsetning",Gyldig fra 30.06.2020 til 30.12.2021
508,Coop Mega Nydalen,"Nydalsveien 33 , 0484 OSLO",Org. nr. 931 186 744,"Foredling, import og omsetning",Gyldig fra 11.05.2020 til 30.12.2021
509,Coop Mega Orkanger,"Orkdalsveien 113 , 7300 ORKANGER",Org. nr. 981 299 752,"Foredling, import og omsetning",Gyldig fra 28.06.2020 til 30.12.2021
510,Coop Mega Randaberg,"Vistnesveien 2 , 4070 RANDABERG",Org. nr. 966 833 300,"Foredling, import og omsetning",Gyldig fra 23.11.2020 til 30.12.2021
511,Coop Mega Raufoss,"Storgt 49 , 2830 RAUFOSS",Org. nr. 973 129 538,"Foredling, import og omsetning",Gyldig fra 25.08.2020 til 30.12.2021
512,Coop Mega Røa torg,"Tore Hals Mejdelsvei 5 , 0756 OSLO",Org. nr. 950 264 799,"Foredling, import og omsetning",Gyldig fra 22.04.2020 til 30.12.2021
513,Coop Mega Rønvikveien 1871,"Rønvikveien 71 , 8009 BODØ",Org. nr. 946 231 819,"Foredling, import og omsetning",Gyldig fra 05.11.2020 til 30.12.2021
515,Coop Mega Røros,"Pederhjortgt 7 , 7374 RØROS",Org. nr. 938 786 054,"Foredling, import og omsetning",Gyldig fra 21.09.2020 til 30.12.2021
516,Coop Mega Sandaker,"Sandakerveien 59 , 0477 OSLO",Org. nr. 931 186 744,"Foredling, import og omsetning",Gyldig fra 21.09.2020 til 30.12.2021
517,Coop Mega Sirkus Shopping,"Falkenborgveien 9 , 7044 TRONDHEIM",Org. nr. 931 186 744,"Foredling, import og omsetning",Gyldig fra 29.09.2020 til 30.12.2021
518,Coop Mega Sjølyst,"Karenslyst alle 58 , 0277 OSLO",Org. nr. 931 186 744,"Foredling, import og omsetning",Gyldig fra 18.11.2020 til 30.12.2021
519,Coop Mega Skøyen,"Hovfaret 17 , 0275 OSLO",Org. nr. 948 432 617,"Foredling, import og omsetning",Gyldig fra 27.01.2020 til 30.12.2021
520,Coop Mega Sola,"Solakrossen 15-17 , 4050 SOLA",Org. nr. 953 452 626,"Foredling, import og omsetning",Gyldig fra 08.09.2020 til 30.12.2021
521,Coop Mega Sortland,"Strandgata 12 , 8400 SORTLAND",Org. nr. 946 231 819,"Foredling, import og omsetning",Gyldig fra 22.04.2020 til 30.12.2021
522,Coop Mega Stange,"Heggedalsvegen 15 , 2335 STANGE",Org. nr. 979 419 287,"Foredling, import og omsetning",Gyldig fra 18.11.2020 til 30.12.2021
523,Coop Mega Støperigården,"Støperigata 24 , 4014 STAVANGER",Org. nr. 931 186 744,"Foredling, import og omsetning",Gyldig fra 13.05.2020 til 30.12.2021
524,Coop Mega Torgkvartalet,"Stokmoveien 2 , 7500 STJØRDAL",Org. nr. 938 786 054,"Foredling, import og omsetning",Gyldig fra 23.11.2020 til 30.12.2021
525,Coop Mega Trysil,"Storvegen 2 , 2420 TRYSIL",Org. nr. 974 298 724,"Foredling, import og omsetning",Gyldig fra 17.03.2020 til 30.12.2021
526,Coop Mega Ullevål,"Sognsveien 75 , 0855 OSLO",Org. nr. 931 186 744,"Foredling, import og omsetning",Gyldig fra 01.11.2020 til 30.12.2021
527,Coop Mega Ulsteinvik,"Vikemyra 1 , 6065 ULSTEINVIK",Org. nr. 973 172 182,"Foredling, import og omsetning",Gyldig fra 16.11.2020 til 30.12.2021
528,Coop Mega Vågå,"Vågåvegen 47 , 2680 VÅGÅ",Org. nr. 979 419 287,"Foredling, import og omsetning",Gyldig fra 20.01.2021 til 30.12.2022
529,Coop Mega Vågsbygd avd. 4309,"Vågsbygd Ringvei 100 , 4621 KRISTIANSAND",Org. nr. 931 186 744,"Foredling, import og omsetning",Gyldig fra 11.10.2020 til 30.12.2021
531,Coop Mega Valentinlyst,"Anders Estenstad veg 4 , 7046 TRONDHEIM",Org. nr. 938 786 054,"Foredling, import og omsetning",Gyldig fra 07.09.2020 til 30.12.2021
532,Coop Mega Verdal,"Nordgata 14 , 7650 VERDAL",Org. nr. 974 329 948,"Foredling, import og omsetning",Gyldig fra 07.09.2020 til 30.12.2021
533,Coop Mega Volda,"Hamnegata 12 , 6100 VOLDA",Org. nr. 973 169 009,"Foredling, import og omsetning",Gyldig fra 16.06.2020 til 30.12.2021
534,Coop Norge AS avd lager Trondheim,"PB 5674, Torgarden , 7485 TRONDHEIM",Org. nr. 961 271 460,"Foredling, import og omsetning",Gyldig fra 12.01.2021 til 30.12.2022
535,Coop Norge Handel AS avd Tromsø,"Ringvn. 770 , 9293 TROMSØ",Org. nr. 974 292 327,"Foredling, import og omsetning",Gyldig fra 29.06.2020 til 30.12.2021
536,Coop Norge Handel AS Stavanger,"Nesflåtvn. 4 , 4018 STAVANGER",Org. nr. 961 271 460,"Foredling, import og omsetning",Gyldig fra 11.05.2020 til 30.12.2021
537,Coop Norge Handel Bergen,"Lønningsflaten 22 , 5258 BLOMSTERDALEN",Org. nr. 761 271 460,"Foredling, import og omsetning",Gyldig fra 11.03.2020 til 30.12.2021
538,Coop Norge SA,"Østre Akervei 264 , 0977 OSLO",Org. nr. 936 560 288,"Foredling, import og omsetning",Gyldig fra 02.06.2020 til 30.12.2021
539,Coop Norge SA Avd Coop Logistikksenter,"Vilbergveien 130 , 2067 JESSHEIM",Org. nr. 974 292 300,"Foredling, import og omsetning",Gyldig fra 04.01.2021 til 30.12.2021
540,Coop Oppdal SA,"Auneveien 3 , 7340 OPPDAL",Org. nr. 939 234 616,"Foredling, import og omsetning",Gyldig fra 12.03.2020 til 30.12.2021
541,Coop Øst Sa. avd. Coop Mega Bøler,"Bølerlia 2 , 0691 OSLO",Org. nr. 948 432 617,"Foredling, import og omsetning",Gyldig fra 07.09.2020 til 30.12.2021
542,Coop Sykkylven SA,"Auregata 11 , 6230 SYKKYLVEN",Org. nr. 971 777 613,"Foredling, import og omsetning",Gyldig fra 15.03.2020 til 30.12.2021
543,Coop Vestviken SA,"Gamle Ringeriksvei 39 , 1357 BEKKESTUA",Org. nr. 950 264 799,"Foredling, import og omsetning",Gyldig fra 12.01.2021 til 30.12.2022
544,Couling-Aas Håkon,"Åsvn. 77 , 3175 RAMNES",Org. nr. 990 907 226,Økologisk landbruksproduksjon,Gyldig fra 15.03.2020 til 30.12.2021
545,Crema Kaffebrenneri,"Råstadveien 186 , 3228 SANDEFJORD",Org. nr. 034 459 768,"Foredling, import og omsetning",Gyldig fra 11.05.2020 til 30.12.2021
547,Criollo Sjokoladebar AS,"Tollbugata 4 , 3044 DRAMMEN",Org. nr. 920 940 935,"Foredling, import og omsetning",Gyldig fra 07.10.2020 til 30.12.2021
549,D. Danielsen AS,"Moseidvn. 35 , 4033 STAVANGER",Org. nr. 911 794 136,"Foredling, import og omsetning",Gyldig fra 24.05.2020 til 30.12.2021
550,Dagens AS,"Grensen 17 , 0159 OSLO",Org. nr. 819 443 602,"Foredling, import og omsetning",Gyldig fra 29.06.2020 til 30.12.2021
551,Dahl Harald,"Nannestadvegen 79 , 2034 HOLTER",Org. nr. 952 041 630,Økologisk landbruksproduksjon,Gyldig fra 12.01.2021 til 30.12.2021
552,Dahl Jan Anders,"Nannestadvegen 464, Ruud gård , 2032 MAURA",Org. nr. 977 102 626,Økologisk landbruksproduksjon,Gyldig fra 09.12.2020 til 30.12.2021
553,Dahlen Ingvar,"Aunbygda, Veg 252 , 7357 SKAUN",Org. nr. 976 880 811,Økologisk landbruksproduksjon,Gyldig fra 09.12.2020 til 30.12.2021
554,Dahlum Karsten,"Øst-Modumveien 1190 , 3370 VIKERSUND",Org. nr. 995 592 428,Økologisk landbruksproduksjon,Gyldig fra 06.10.2020 til 30.12.2021
555,Dalahagen,"Dalevegen 147 , 5642 HOLMEFJORD",Org. nr. 916 271 824,Økologiske snittblomster og potteplanter til pynt,Gyldig fra 09.02.2020 til 30.12.2021
556,Dalan Oddvar,"Audnedalsveien 3679 , 4525 KONSMO",Org. nr. 996 565 351,Økologiske juletrær og pyntegrønt,Gyldig fra 08.11.2020 til 30.12.2021
557,Dale Åshild,"Dalssida 160 , 6214 NORDDAL",Org. nr. 969 262 096,"Foredling, import og omsetning",Gyldig fra 11.11.2020 til 30.12.2021
558,Dale Magne,"Sørsidevegen 3430 , 6387 VÅGSTRANDA",Org. nr. 969 177 447,Økologisk landbruksproduksjon,Gyldig fra 08.12.2020 til 30.12.2021
559,Dalland Bårdsnes Sunniva,"Statsvn 617 , 8314 GIMSØYSAND",Org. nr. 914 558 816,Økologisk landbruksproduksjon,Gyldig fra 17.03.2020 til 30.12.2021
560,Dalland gard,"Dallandsvegen 50 , 5680 TYSNES",Org. nr. 915 043 313,"Foredling, import og omsetning",Gyldig fra 30.09.2020 til 30.12.2021
561,Dammen Vegard,"Jønlandsvn 117 , 7213 GÅSBAKKEN",Org. nr. 998 087 791,Økologisk landbruksproduksjon,Gyldig fra 25.11.2020 til 30.12.2021
562,Dangstorp Gunhild og Bent,"Varteigvn. 975 , 1735 VARTEIG",Org. nr. 985 072 752,"Foredling, import og omsetning",Gyldig fra 30.08.2020 til 30.12.2021
564,Danica Foods AS,"Årabrotsvn 21 F , 5515 HAUGESUND",Org. nr. 966 128 631,"Foredling, import og omsetning",Gyldig fra 05.05.2020 til 30.12.2021
565,Danielsberg Gøran,"Bysætervika 59 , 2353 STAVSJØ",Org. nr. 969 903 733,Økologisk landbruksproduksjon,Gyldig fra 05.05.2020 til 30.12.2021
566,Darrud Torbjørn,"Nordagutuvegen 394 , 3820 NORDAGUTU",Org. nr. 982 126 045,Økologisk landbruksproduksjon,Gyldig fra 20.10.2020 til 30.12.2021
567,DAVA Foods,"Hegdalringen 12 , 3261 LARVIK",Org. nr. 945 676 647,"Foredling, import og omsetning",Gyldig fra 14.04.2020 til 30.12.2021
568,Davey Helen,"Gunnarsrudvegen 100 , 2436 VÅLER I SOLØR",Org. nr. 969 931 052,"Foredling, import og omsetning",Gyldig fra 29.11.2020 til 30.12.2021
569,De 3 Stuer AS,"Brynsalleen 4, 5 etg , 0667 OSLO",Org. nr. 990 035 946,Servering av økologisk mat og drikke,Gyldig fra 15.03.2020 til 30.12.2021
570,de Buhr Inske,"Selnesveien 1696 , 9042 LAKSVATN",Org. nr. 984 780 508,"Foredling, import og omsetning",Gyldig fra 07.10.2020 til 30.12.2021
571,De Heibergske Samlinger - Sogn Folkemuseum,"Mannhellervegen 643 , 6853 KAUPANGER",Org. nr. 994 179 136,Servering av økologisk mat og drikke,Gyldig fra 26.05.2020 til 30.12.2021
572,Debios kantine,"Østre Bliksrudvei 7 , 1940 BJØRKELANGEN",Org. nr. 971 475 471,Servering av økologisk mat og drikke,Gyldig fra 15.10.2020 til 30.12.2021
573,Dellia AS,"Maridalsveien 163 , 0461 OSLO",Org. nr. 919 709 294,"Foredling, import og omsetning",Gyldig fra 06.10.2020 til 30.12.2021
574,Den blå enhjørningen-Ingunn Øye,"Blivgodtvegen 385 , 2825 GJØVIK",Org. nr. 988 726 818,Økologisk landbruksproduksjon,Gyldig fra 21.04.2020 til 30.12.2021
575,Den Gode Baker AS,"Fossnesvn. 1 , 3160 STOKKE",Org. nr. 987 597 070,"Foredling, import og omsetning",Gyldig fra 02.09.2020 til 30.12.2021
576,Den Gyldne Bønne AS,"Ringeriksveien 187 , 1339 VØYENENGA",Org. nr. 977 515 807,"Foredling, import og omsetning",Gyldig fra 12.07.2020 til 30.12.2021
577,Den lille Juicefabrikken AS,"PB 1510, Lundsiden , 4632 KRISTIANSAND S",Org. nr. 914 120 047,"Foredling, import og omsetning",Gyldig fra 13.05.2020 til 30.12.2021
578,Den Norske Krone AS,"Postboks 9369 Grønland , 0135 OSLO",Org. nr. 917 584 923,"Foredling, import og omsetning",Gyldig fra 15.11.2020 til 30.12.2021
580,Den Sorte Havre - Tveter,"Mørkveien 640 , 1592 VÅLER I ØSTFOLD",Org. nr. 912 741 672,Økologisk landbruksproduksjon,Gyldig fra 23.06.2020 til 30.12.2021
581,Den Stolte Hane AS avd Ski,"Glynitveien 9 , 1400 SKI",Org. nr. 980 403 815,"Foredling, import og omsetning",Gyldig fra 23.06.2020 til 30.12.2021
582,Den Stolte Pølsemaker,"Kollskjeggvn. 1 , 3917 PORSGRUNN",Org. nr. 917 998 833,"Foredling, import og omsetning",Gyldig fra 08.09.2020 til 30.12.2021
583,Derinngarden Ane Tjugen Røynstrand,"Øvre Halåsveg 18 , 6490 EIDE",Org. nr. 920 038 638,"Foredling, import og omsetning",Gyldig fra 13.01.2021 til 30.12.2021
584,Desserud Erling,"Halvorsrudveien 9 , 3520 JEVNAKER",Org. nr. 916 509 669,Økologisk landbruksproduksjon,Gyldig fra 05.02.2020 til 30.12.2021
585,Det Glutenfrie Verksted AS,"Nordsetervn. 26 A , 1176 OSLO",Org. nr. 822 375 952,"Foredling, import og omsetning",Gyldig fra 30.11.2020 til 30.12.2021
586,Det Kongelige Selskap for Norges Vel,"Bråtevn 200 , 2013 SKJETTEN",Org. nr. 965 208 739,Økologisk landbruksproduksjon,Gyldig fra 21.04.2020 til 30.12.2021
587,DiaManz Group,"Kirkeveien 346A , 3140 NØTTERØY",Org. nr. 922 030 979,"Foredling, import og omsetning",Gyldig fra 12.10.2020 til 30.12.2021
588,Didriksen Reidar,"Petedalsheia 144 , 5254 SANDSLI",Org. nr. 983 578 500,Økologisk landbruksproduksjon,Gyldig fra 31.08.2020 til 30.12.2021
589,Digernes Gina,"Bråtanesvegen 1 , 5420 RUBBESTADNESET",Org. nr. 920 341 268,"Foredling, import og omsetning",Gyldig fra 04.05.2020 til 30.12.2021
590,Digernes Kjell Erling,"Vornesveien 220 , 5437 FINNÅS",Org. nr. 983 605 400,Økologisk landbruksproduksjon,Gyldig fra 11.08.2020 til 30.12.2021
591,Dine Røtter AS,"Vangkroken 18 , 1339 VØYENENGA",Org. nr. 920 654 819,Økologisk landbruksproduksjon,Gyldig fra 15.11.2020 til 30.12.2021
592,Divini AS,"Pb 123 , 1325 LYSAKER",Org. nr. 992 560 231,"Foredling, import og omsetning",Gyldig fra 10.08.2020 til 30.12.2021
593,Djønne Rolf Tore,"Vestrheimsvegen 9 , 5730 ULVIK",Org. nr. 990 578 095,"Foredling, import og omsetning",Gyldig fra 02.06.2020 til 30.12.2021
